"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3934","has title","chromium","Thu Sep 19 17:00:58 IST 2024","passed","Thu Sep 19 17:01:02 IST 2024","","example.spec.ts","",""
"","3419","get started link","chromium","Thu Sep 19 17:00:58 IST 2024","failed","Thu Sep 19 17:01:02 IST 2024","","example.spec.ts","",""
